byte_position,byte_value,avg_time_ns
0,205,124077.62499992714
0,206,122450.54200002414
0,207,122145.87500011476
0,208,121663.24999998324
0,209,121457.58300016496
0,210,121398.99999988302
0,211,121795.33299990908
0,212,121531.95800010508
0,213,121452.20900015374
0,214,122394.08300001743
0,215,122393.50000004377
0,216,121765.83299992672
0,217,121504.95899982161
0,218,122110.6250000048
0,219,122374.91700011559
0,220,126521.08399993267
0,221,120564.87500012736
0,222,120568.75000007494
0,223,120441.75000005453
0,224,120361.58399996566
0,225,120238.04199998267
0,226,120613.20800012254
0,227,120093.66600000249
0,228,120599.41600000457
0,229,120024.41599997837
0,230,120068.12499998887
0,231,120349.95899989553
0,232,120415.50000003554
0,233,120509.00000008369
0,234,120119.20800000553
0,235,120340.70799995789
0,236,120235.50000003524
0,237,120752.20900010208
0,238,120302.66700003267
0,239,120311.50000007074
0,240,119935.25000002592
0,241,120001.29200009724
0,242,120318.87500006633
0,243,120706.45899984811
0,244,120715.20900008181
0,245,120303.75000017557
0,246,120033.29100002702
0,247,120305.33400002241
0,248,120484.91699988517
0,249,120435.29199991099
0,250,120177.04199979562
0,251,120198.58300004671
0,252,120834.45899997969
0,253,120342.37500006384
0,254,120496.7090000082
0,255,120270.62499987551
